day,festival,month,name,ville,year
31.0,FESTI NEUCH,Mai,LA CAUTION,Neuchatel,2008.0
31.0,FESTI NEUCH,Mai,TTC,Neuchatel,2008.0
31.0,FESTI NEUCH,Mai,FANTAZIO,Neuchatel,2008.0
31.0,FESTI NEUCH,Mai,MONKEY 3,Neuchatel,2008.0
31.0,FESTI NEUCH,Mai,FEIST,Neuchatel,2008.0
1.0,FESTI NEUCH,Juin,ROKIA TRAORE,Neuchatel,2008.0
1.0,FESTI NEUCH,Juin,GORAN BREGOVIC,Neuchatel,2008.0
1.0,FESTI NEUCH,Juin,I SKARBONARI,Neuchatel,2008.0
1.0,FESTI NEUCH,Juin,ELANDIR,Neuchatel,2008.0
1.0,FESTI NEUCH,Juin,CASSIUS,Neuchatel,2007.0
1.0,FESTI NEUCH,Juin,JUSTICE,Neuchatel,2007.0
1.0,FESTI NEUCH,Juin,HOUSTON SWING ENGINE,Neuchatel,2007.0
1.0,FESTI NEUCH,Juin,LOLE,Neuchatel,2007.0
1.0,FESTI NEUCH,Juin,IGGY POP,Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,DE LA SOUL,Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,ASIAN DUB FOUNDATION,Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,PRINCE PAUL,Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,GENTLEMAN (AND THE EVOLUTION),Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,BALKAN BEAT BOX (BBB),Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,SOJA (SOLDIERS OF JAH ARMY),Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,MOONRAISERS,Neuchatel,2007.0
3.0,FESTI NEUCH,Juin,LES OGRES DE BARBACK,Neuchatel,2007.0
3.0,FESTI NEUCH,Juin,GOTAN PROJECT,Neuchatel,2007.0
2.0,FESTI NEUCH,Juin,JULIETTE & THE LICKS,Neuchatel,2006.0
2.0,FESTI NEUCH,Juin,VITALIC,Neuchatel,2006.0
2.0,FESTI NEUCH,Juin,LE PEUPLE DE L'HERBE,Neuchatel,2006.0
2.0,FESTI NEUCH,Juin,THE PRODIGY,Neuchatel,2006.0
3.0,FESTI NEUCH,Juin,WILLIAM WHITE,Neuchatel,2006.0
3.0,FESTI NEUCH,Juin,GROUNDATION,Neuchatel,2006.0
3.0,FESTI NEUCH,Juin,PATRICE,Neuchatel,2006.0
3.0,FESTI NEUCH,Juin,BURNING SPEAR,Neuchatel,2006.0
4.0,FESTI NEUCH,Juin,SIMON GERBER,Neuchatel,2006.0
4.0,FESTI NEUCH,Juin,MAXIME LE FORESTIER,Neuchatel,2006.0
4.0,FESTI NEUCH,Juin,DOCTOR L,Neuchatel,2006.0
4.0,FESTI NEUCH,Juin,NAPOLEON WASHINGTON,Neuchatel,2006.0
4.0,FESTI NEUCH,Juin,ISSA BAGAYOGO,Neuchatel,2006.0
15.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,JOE LOVANO,Geneve,2016.0
16.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,PLAISTOW,Geneve,2016.0
17.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,BAD RESOLUTION,Geneve,2016.0
18.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,INNLAANDS,Geneve,2016.0
19.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,YANNICK DELEZ,Geneve,2016.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,MARCOS JIMENEZ,Geneve,2016.0
24.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,MANU GESSENEY,Geneve,2015.0
25.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,KUARA,Geneve,2015.0
26.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,ANTOINE THOUVENIN,Geneve,2015.0
27.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,BASEL RAJOUB,Geneve,2015.0
28.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,MATHIEU ROSSIGNELLY,Geneve,2015.0
29.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,ANDERS JORMIN,Geneve,2015.0
18.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,BOBO STENSON,Geneve,2014.0
19.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,SEBASTIEN AMMANN,Geneve,2014.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,GENTLE MARVEL,Geneve,2014.0
21.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,STEVE KUHN,Geneve,2014.0
22.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,GANESH GEYMEIER,Geneve,2014.0
23.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,ANTIDOGMA,Geneve,2014.0
19.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,JEAN-LOU TREBOUX,Geneve,2013.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,JOHN SCOFIELD,Geneve,2013.0
21.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,NICOLAS MASSON,Geneve,2013.0
22.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,ENRICO PIERANUNZI,Geneve,2013.0
23.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,JOY FREMPONG,Geneve,2013.0
24.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,GERRY HEMINGWAY,Geneve,2013.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,TRIONYX,Geneve,2012.0
21.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,ARVE HENRIKSEN,Geneve,2012.0
22.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,MICHEL BASTET,Geneve,2012.0
23.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,FLORENCE MELNOTTE,Geneve,2012.0
24.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,ELINA DUNI,Geneve,2012.0
25.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,JOHN TAYLOR,Geneve,2012.0
5.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,FANFARE DU LOUP ORCHESTRA (LE CRI DU SON),Geneve,2011.0
6.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,GABRIEL ZUFFEREY,Geneve,2011.0
7.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,KURT ROSENWINKEL,Geneve,2011.0
7.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,PLAISTOW,Geneve,2011.0
9.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,CHRISTOPHE BERTHET,Geneve,2011.0
10.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,NASHEET WAITS,Geneve,2011.0
4.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,MICHEL WINTSCH,Geneve,2010.0
5.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,MALCOLM BRAFF,Geneve,2010.0
6.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,LES MYSTERES DE L'OUEST,Geneve,2010.0
7.0,FESTIVAL DE JAZZ DE L'AMR,Mar.,PHILIPPE KOLLER,Geneve,2010.0
23.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,UNIT,Geneve,2009.0
24.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,MERCADONEGRO,Geneve,2009.0
25.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,GLENN FERRIS,Geneve,2009.0
26.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,OHAD TALMOR,Geneve,2009.0
17.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,YVES ROBERT,Geneve,2008.0
18.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,LE GRUPETTO,Geneve,2008.0
19.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,LEBOCAL,Geneve,2008.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,CHLOE LEVY,Geneve,2008.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,HENRI TEXIER,Geneve,2008.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,FRANCOIS CORNELOUP,Geneve,2008.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,MANU CODJIA,Geneve,2008.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,GUEORGUI KORNAZOV,Geneve,2008.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,CHRISTOPHE MARGUET,Geneve,2008.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,SEBASTIEN TEXIER,Geneve,2008.0
19.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,MALCOLM BRAFF,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,LAURENT DEHORS,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,FRANCOIS THUILLIER,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,ERIC ECHAMPARD,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,PHILIPPE SELLAM,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,ANDY EMLER,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,MEDERIC COLLIGNON,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,FRANCOIS VERLY,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,FRANCIS VARIS,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,THOMAS DE POURQUERY,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,CLAUDE TCHAMITCHIAN,Geneve,2007.0
20.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,NK,Geneve,2007.0
21.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,THOMAS LEHN,Geneve,2007.0
21.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,JACQUES DEMIERE,Geneve,2007.0
21.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,WILLIAM PARKER,Geneve,2007.0
22.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,DAVID VENITUCCI,Geneve,2007.0
22.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,BOJAN Z,Geneve,2007.0
22.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,PAVEL PESTA RE BOP QUINTET,Geneve,2007.0
22.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,DAVE DOUGLAS,Geneve,2007.0
7.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,ANDREW HILL,Geneve,2006.0
8.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,BILL FRISELL,Geneve,2006.0
8.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,AHMAD MANSOUR,Geneve,2006.0
8.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,BERTRAND BLESSING,Geneve,2006.0
9.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,NICOLAS MASSON,Geneve,2006.0
9.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,CHRIS POTTER,Geneve,2006.0
9.0,FESTIVAL DE JAZZ DE L'AMR,Avr.,INSTANT COMPOSER POOL ORCHESTRA / ICP,Geneve,2006.0
2.0,FESTIVAL DE LA BATIE,Sep.,JOHN ADAMS,Geneve,2016.0
2.0,FESTIVAL DE LA BATIE,Sep.,BORIS CHARMATZ,Geneve,2016.0
2.0,FESTIVAL DE LA BATIE,Sep.,A LOVE FROM OUTER SPACE,Geneve,2016.0
3.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
3.0,FESTIVAL DE LA BATIE,Sep.,GUILHERME BOTELHO,Geneve,2016.0
3.0,FESTIVAL DE LA BATIE,Sep.,LUBOMYR MELNYK,Geneve,2016.0
3.0,FESTIVAL DE LA BATIE,Sep.,LISBETH GRUWEZ,Geneve,2016.0
3.0,FESTIVAL DE LA BATIE,Sep.,BORIS CHARMATZ,Geneve,2016.0
3.0,FESTIVAL DE LA BATIE,Sep.,JACQUES,Geneve,2016.0
4.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
4.0,FESTIVAL DE LA BATIE,Sep.,MARIE CAROLINE HOMINAL,Geneve,2016.0
4.0,FESTIVAL DE LA BATIE,Sep.,THOMAS HAUERT,Geneve,2016.0
4.0,FESTIVAL DE LA BATIE,Sep.,GUILHERME BOTELHO,Geneve,2016.0
4.0,FESTIVAL DE LA BATIE,Sep.,EVELINE MURENBEELD,Geneve,2016.0
4.0,FESTIVAL DE LA BATIE,Sep.,OMAR ABUSAADA,Geneve,2016.0
4.0,FESTIVAL DE LA BATIE,Sep.,LISBETH GRUWEZ,Geneve,2016.0
5.0,FESTIVAL DE LA BATIE,Sep.,MARIE CAROLINE HOMINAL,Geneve,2016.0
5.0,FESTIVAL DE LA BATIE,Sep.,OMAR ABUSAADA,Geneve,2016.0
5.0,FESTIVAL DE LA BATIE,Sep.,GUILHERME BOTELHO,Geneve,2016.0
5.0,FESTIVAL DE LA BATIE,Sep.,CAT POWER,Geneve,2016.0
5.0,FESTIVAL DE LA BATIE,Sep.,EVELINE MURENBEELD,Geneve,2016.0
6.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
6.0,FESTIVAL DE LA BATIE,Sep.,EVELINE MURENBEELD,Geneve,2016.0
6.0,FESTIVAL DE LA BATIE,Sep.,MARIE CAROLINE HOMINAL,Geneve,2016.0
6.0,FESTIVAL DE LA BATIE,Sep.,CHRISTIAN RIZZO,Geneve,2016.0
6.0,FESTIVAL DE LA BATIE,Sep.,BEAK >,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,BERTRAND BOSSARD,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,THOMAS HAUERT,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,EVELINE MURENBEELD,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,PABLO LARRAIN,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,MARIE CAROLINE HOMINAL,Geneve,2016.0
7.0,FESTIVAL DE LA BATIE,Sep.,MIKE SIMONETTI,Geneve,2016.0
8.0,FESTIVAL DE LA BATIE,Sep.,BERTRAND BOSSARD,Geneve,2016.0
8.0,FESTIVAL DE LA BATIE,Sep.,EDH,Geneve,2016.0
8.0,FESTIVAL DE LA BATIE,Sep.,THOMAS HAUERT,Geneve,2016.0
8.0,FESTIVAL DE LA BATIE,Sep.,MARIE CAROLINE HOMINAL,Geneve,2016.0
8.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
8.0,FESTIVAL DE LA BATIE,Sep.,PABLO LARRAIN,Geneve,2016.0
8.0,FESTIVAL DE LA BATIE,Sep.,CHARLIE CUNNINGHAM,Geneve,2016.0
9.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
9.0,FESTIVAL DE LA BATIE,Sep.,MARIE CAROLINE HOMINAL,Geneve,2016.0
9.0,FESTIVAL DE LA BATIE,Sep.,BERTRAND BOSSARD,Geneve,2016.0
9.0,FESTIVAL DE LA BATIE,Sep.,LAURENCE YADI,Geneve,2016.0
9.0,FESTIVAL DE LA BATIE,Sep.,PEACHES,Geneve,2016.0
9.0,FESTIVAL DE LA BATIE,Sep.,DIMITRI DE PERROT,Geneve,2016.0
9.0,FESTIVAL DE LA BATIE,Sep.,MAMIKO MOTTO,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,BERTRAND BOSSARD,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,POL,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,LAURENCE YADI,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,MILO RAU,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,POL,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,RACHID OURAMDANE,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,DIMITRI DE PERROT,Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,"RYOJI IKEDA / ""SUPERPOSITION""",Geneve,2016.0
10.0,FESTIVAL DE LA BATIE,Sep.,KATE WAX aka AISHA DEVI,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,BERTRAND BOSSARD,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,POL,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,POL,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,MILO RAU,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,POL,Geneve,2016.0
11.0,FESTIVAL DE LA BATIE,Sep.,NICOLAS CANTILLON,Geneve,2016.0
12.0,FESTIVAL DE LA BATIE,Sep.,LAURENCE YADI,Geneve,2016.0
12.0,FESTIVAL DE LA BATIE,Sep.,MILO RAU,Geneve,2016.0
12.0,FESTIVAL DE LA BATIE,Sep.,CAT'S EYES,Geneve,2016.0
12.0,FESTIVAL DE LA BATIE,Sep.,CECILIA BENGOLEA,Geneve,2016.0
13.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
13.0,FESTIVAL DE LA BATIE,Sep.,MIOSSEC,Geneve,2016.0
13.0,FESTIVAL DE LA BATIE,Sep.,SALIA SANOU,Geneve,2016.0
13.0,FESTIVAL DE LA BATIE,Sep.,FRANCOIS CHAIGNAUD,Geneve,2016.0
14.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
14.0,FESTIVAL DE LA BATIE,Sep.,PATRICK FRANK,Geneve,2016.0
14.0,FESTIVAL DE LA BATIE,Sep.,FRANCOIS CHAIGNAUD,Geneve,2016.0
14.0,FESTIVAL DE LA BATIE,Sep.,SALIA SANOU,Geneve,2016.0
14.0,FESTIVAL DE LA BATIE,Sep.,KASSETTE,Geneve,2016.0
15.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
15.0,FESTIVAL DE LA BATIE,Sep.,MIET WARLOP FRUITS OF LABOR,Geneve,2016.0
15.0,FESTIVAL DE LA BATIE,Sep.,FAT WHITE FAMILY,Geneve,2016.0
15.0,FESTIVAL DE LA BATIE,Sep.,THEO MERCIER,Geneve,2016.0
16.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
16.0,FESTIVAL DE LA BATIE,Sep.,MIET WARLOP FRUITS OF LABOR,Geneve,2016.0
16.0,FESTIVAL DE LA BATIE,Sep.,TOSHIKI OKADA,Geneve,2016.0
16.0,FESTIVAL DE LA BATIE,Sep.,ALAIN PLATEL,Geneve,2016.0
16.0,FESTIVAL DE LA BATIE,Sep.,SAMBA DE LA MUERTE,Geneve,2016.0
16.0,FESTIVAL DE LA BATIE,Sep.,FRANCOIS CHAIGNAUD,Geneve,2016.0
17.0,FESTIVAL DE LA BATIE,Sep.,CAROLINE BERGVALL,Geneve,2016.0
17.0,FESTIVAL DE LA BATIE,Sep.,TOSHIKI OKADA,Geneve,2016.0
17.0,FESTIVAL DE LA BATIE,Sep.,ALAIN PLATEL,Geneve,2016.0
17.0,FESTIVAL DE LA BATIE,Sep.,BOULEVARD DES HITS,Geneve,2016.0
15.0,FESTIVAL DE LA BATIE,Oct.,EDWIN SANZ ORCHESTA,Geneve,2016.0
28.0,FESTIVAL DE LA BATIE,Aout,GIRLS IN HAWAII,Geneve,2015.0
29.0,FESTIVAL DE LA BATIE,Aout,JOAKIM,Geneve,2015.0
31.0,FESTIVAL DE LA BATIE,Aout,MARK LANEGAN,Geneve,2015.0
1.0,FESTIVAL DE LA BATIE,Sep.,STEPHAN EICHER,Geneve,2015.0
2.0,FESTIVAL DE LA BATIE,Sep.,PITA,Geneve,2015.0
3.0,FESTIVAL DE LA BATIE,Sep.,GLI ANGELI,Geneve,2015.0
4.0,FESTIVAL DE LA BATIE,Sep.,PREOCCUPATIONS,Geneve,2015.0
5.0,FESTIVAL DE LA BATIE,Sep.,TRANSISTOR GIRL,Geneve,2015.0
5.0,FESTIVAL DE LA BATIE,Sep.,OPTIMO,Geneve,2015.0
7.0,FESTIVAL DE LA BATIE,Sep.,MALCOM MIDDLETON,Geneve,2015.0
8.0,FESTIVAL DE LA BATIE,Sep.,PIERRE OMER,Geneve,2015.0
9.0,FESTIVAL DE LA BATIE,Sep.,ALINE (ex YOUNG MICHELIN),Geneve,2015.0
9.0,FESTIVAL DE LA BATIE,Sep.,DJ YANN,Geneve,2015.0
10.0,FESTIVAL DE LA BATIE,Sep.,SONNY AND THE SUNSETS,Geneve,2015.0
11.0,FESTIVAL DE LA BATIE,Sep.,SAVAGES,Geneve,2015.0
12.0,FESTIVAL DE LA BATIE,Sep.,THE DIVINE COMEDY (NEIL HANNON),Geneve,2015.0
29.0,FESTIVAL DE LA BATIE,Aout,JUNIP (JOSE GONZALEZ),Geneve,2014.0
29.0,FESTIVAL DE LA BATIE,Aout,TIGA,Geneve,2014.0
30.0,FESTIVAL DE LA BATIE,Aout,ANDRES GARCIA,Geneve,2014.0
30.0,FESTIVAL DE LA BATIE,Aout,ALEXIS TAYLOR,Geneve,2014.0
1.0,FESTIVAL DE LA BATIE,Sep.,ALAN LICHT,Geneve,2014.0
2.0,FESTIVAL DE LA BATIE,Sep.,WARPAINT,Geneve,2014.0
3.0,FESTIVAL DE LA BATIE,Sep.,BILL RYDER JONES,Geneve,2014.0
4.0,FESTIVAL DE LA BATIE,Sep.,THE HONSHU WOLVES,Geneve,2014.0
4.0,FESTIVAL DE LA BATIE,Sep.,EMILIE WEIBEL,Geneve,2014.0
5.0,FESTIVAL DE LA BATIE,Sep.,F.M. (FRANCOIS MAURIN),Geneve,2014.0
6.0,FESTIVAL DE LA BATIE,Sep.,F.M. (FRANCOIS MAURIN),Geneve,2014.0
6.0,FESTIVAL DE LA BATIE,Sep.,JAMES LAVELLE,Geneve,2014.0
8.0,FESTIVAL DE LA BATIE,Sep.,ENSEMBLE CONTRECHAMPS,Geneve,2014.0
8.0,FESTIVAL DE LA BATIE,Sep.,GRUFF RHYS,Geneve,2014.0
9.0,FESTIVAL DE LA BATIE,Sep.,SLOWDIVE,Geneve,2014.0
10.0,FESTIVAL DE LA BATIE,Sep.,GENESIS P ORRIDGE,Geneve,2014.0
10.0,FESTIVAL DE LA BATIE,Sep.,DJ REAS,Geneve,2014.0
11.0,FESTIVAL DE LA BATIE,Sep.,QUILT,Geneve,2014.0
12.0,FESTIVAL DE LA BATIE,Sep.,SIVU,Geneve,2014.0
13.0,FESTIVAL DE LA BATIE,Sep.,DEMDIKE STARE,Geneve,2014.0
13.0,FESTIVAL DE LA BATIE,Sep.,RODOLPHE BURGER,Geneve,2014.0
13.0,FESTIVAL DE LA BATIE,Sep.,MR JONATHAN TOUBIN,Geneve,2014.0
31.0,FESTIVAL DE LA BATIE,Aout,JAMES MURPHY,Geneve,2012.0
1.0,FESTIVAL DE LA BATIE,Sep.,RADIO MENTALE,Geneve,2012.0
1.0,FESTIVAL DE LA BATIE,Sep.,CREAKY PRETTY FLY NIGHT,Geneve,2012.0
1.0,FESTIVAL DE LA BATIE,Sep.,RUDY DECELIERE,Geneve,2012.0
2.0,FESTIVAL DE LA BATIE,Sep.,RADIO MENTALE,Geneve,2012.0
3.0,FESTIVAL DE LA BATIE,Sep.,CONNAN MOCKASIN,Geneve,2012.0
4.0,FESTIVAL DE LA BATIE,Sep.,CATE LE BON,Geneve,2012.0
5.0,FESTIVAL DE LA BATIE,Sep.,DJ CROWDPLEASER,Geneve,2012.0
7.0,FESTIVAL DE LA BATIE,Sep.,CHASSOL,Geneve,2012.0
8.0,FESTIVAL DE LA BATIE,Sep.,MUNK,Geneve,2012.0
8.0,FESTIVAL DE LA BATIE,Sep.,ONEOHTRIX POINT NEVER /OPN,Geneve,2012.0
9.0,FESTIVAL DE LA BATIE,Sep.,POL & EKLEKTO,Geneve,2012.0
10.0,FESTIVAL DE LA BATIE,Sep.,ONEOHTRIX POINT NEVER /OPN,Geneve,2012.0
11.0,FESTIVAL DE LA BATIE,Sep.,PLANNINGTOROCK,Geneve,2012.0
11.0,FESTIVAL DE LA BATIE,Sep.,OY,Geneve,2012.0
12.0,FESTIVAL DE LA BATIE,Sep.,MAXENCE CYRIN,Geneve,2012.0
13.0,FESTIVAL DE LA BATIE,Sep.,WOODKID,Geneve,2012.0
14.0,FESTIVAL DE LA BATIE,Sep.,VVOLVES,Geneve,2012.0
15.0,FESTIVAL DE LA BATIE,Sep.,DJ OOF,Geneve,2012.0
15.0,FESTIVAL DE LA BATIE,Sep.,RUDY DECELIERE,Geneve,2012.0
2.0,FESTIVAL DE LA BATIE,Sep.,TINDERSTICKS,Geneve,2011.0
3.0,FESTIVAL DE LA BATIE,Sep.,CHRISTIAN GARCIA REIDT (GLISSANDO),Geneve,2011.0
4.0,FESTIVAL DE LA BATIE,Sep.,MAMI CHAN,Geneve,2011.0
4.0,FESTIVAL DE LA BATIE,Sep.,ARMANCIO PRADA,Geneve,2011.0
5.0,FESTIVAL DE LA BATIE,Sep.,MILES KANE,Geneve,2011.0
6.0,FESTIVAL DE LA BATIE,Sep.,CASCADEUR,Geneve,2011.0
7.0,FESTIVAL DE LA BATIE,Sep.,VETO,Geneve,2011.0
9.0,FESTIVAL DE LA BATIE,Sep.,ANNA AARON,Geneve,2011.0
10.0,FESTIVAL DE LA BATIE,Sep.,JULIEN CLAUSS,Geneve,2011.0
10.0,FESTIVAL DE LA BATIE,Sep.,JULIANA SNAPPER,Geneve,2011.0
10.0,FESTIVAL DE LA BATIE,Sep.,IMPERIAL TIGER ORCHESTRA,Geneve,2011.0
12.0,FESTIVAL DE LA BATIE,Sep.,CARL BARAT AND THE JACKALS,Geneve,2011.0
13.0,FESTIVAL DE LA BATIE,Sep.,ANDRES GARCIA,Geneve,2011.0
14.0,FESTIVAL DE LA BATIE,Sep.,JACK IS DEAD,Geneve,2011.0
14.0,FESTIVAL DE LA BATIE,Sep.,RICHARD MAXWELL,Geneve,2011.0
15.0,FESTIVAL DE LA BATIE,Sep.,JERRYCAN,Geneve,2011.0
16.0,FESTIVAL DE LA BATIE,Sep.,THE AMPLIFETES,Geneve,2011.0
16.0,FESTIVAL DE LA BATIE,Sep.,JERRYCAN,Geneve,2011.0
17.0,FESTIVAL DE LA BATIE,Sep.,RICHARD MAXWELL,Geneve,2011.0
3.0,FESTIVAL DE LA BATIE,Sep.,LULUXPO,Geneve,2010.0
3.0,FESTIVAL DE LA BATIE,Sep.,TETE,Geneve,2010.0
4.0,FESTIVAL DE LA BATIE,Sep.,JIMI TENOR,Geneve,2010.0
4.0,FESTIVAL DE LA BATIE,Sep.,DJ BEN LARSEN,Geneve,2010.0
4.0,FESTIVAL DE LA BATIE,Sep.,IMAZ'ELIA,Geneve,2010.0
5.0,FESTIVAL DE LA BATIE,Sep.,MORNING STAR,Geneve,2010.0
